clientID,Gender,Education,Mariage,Age,creditAmount,paymentDelayed,defaultPayment
06026OIZN,M,primary,Single,6,1361566,Yes,0
46078QTSF,F,university,Single,41,3113429,Yes,0
42344CLRJ,F,university,Married,58,1538536,Yes,1
19080CTVO,F,university,Single,89,1536557,No,0
55313RTWS,M,college,Single,81,64444,Yes,0
96352RFCV,M,university,Single,33,7264021,Yes,0
37588ZVPQ,M,primary,Single,98,3910363,Yes,0
09821SIIA,M,college,Single,20,3526891,No,1
85416ATFK,F,university,Married,26,838838,No,1
33775CBEQ,F,primary,Single,71,1332312,No,1
62644HTCL,M,university,Married,98,6491121,No,0
26460KPAH,F,others,Single,70,5375504,Yes,0
21230TEJS,F,others,Single,82,8880743,Yes,0
58808BAXW,F,primary,Single,41,3231940,Yes,0
55741AIUQ,M,primary,Married,94,7986695,Yes,1
89082PNKI,F,others,Single,51,3310141,No,1
33151NXJS,M,primary,Single,96,8309762,No,1
88211PTRE,M,college,Single,44,3121651,No,1
74774YOQQ,M,college,Married,99,7872046,Yes,1
86104HHBN,F,others,Married,22,4832904,No,1
34080WWPN,F,college,Single,63,9928959,No,0
45784VQIM,F,primary,Married,11,1027879,Yes,0
10183SNEG,M,primary,Single,42,7424193,No,1
44513HKIP,M,college,Married,45,3102575,Yes,1
76006HSRX,F,others,Married,78,8515854,No,1
83513ZSKP,F,others,Married,68,105922,No,1
93378RVTR,F,primary,Married,94,1334767,No,1
56433EFYM,F,others,Married,29,2950289,No,1
21081UVWA,M,others,Married,40,3317200,Yes,1
37131VUVE,F,others,Single,39,4416797,No,1
44624HTLN,F,primary,Single,12,2414121,No,1
38483YZMH,F,university,Single,92,9093225,No,1
35988DGQW,M,university,Single,11,9654182,Yes,0
51882THXD,M,others,Single,81,3176692,No,1
49243ABNG,M,university,Married,51,2080548,Yes,0
93098QUDH,M,others,Single,40,1271374,Yes,0
86174ACGV,F,primary,Married,79,3157448,No,0
57512HBKU,F,college,Married,63,3138146,Yes,1
41950NGDL,M,primary,Single,81,5392289,No,1
62460ZBNN,M,college,Single,23,3820433,Yes,1
95346ZGAU,F,primary,Married,96,2725016,Yes,0
37677IBOV,M,college,Married,48,6621430,No,0
17466VBUL,F,college,Married,25,9937283,No,1
20109NZOG,F,university,Single,33,4978128,No,1
71378IDJX,M,primary,Married,90,6916944,No,1
78394MYNU,F,college,Single,62,8500252,Yes,1
70685ICRH,F,others,Single,44,4788269,No,1
64630WJZH,M,others,Single,43,3661766,Yes,0
99063URYD,F,primary,Single,56,7155874,No,1
67007JJOP,M,primary,Married,46,4210239,No,0
69375NKQG,F,others,Married,96,5784097,Yes,1
17435GGLZ,M,college,Single,20,4039462,Yes,0
29418LXLC,M,others,Married,21,8901167,Yes,0
68330OXWS,M,others,Single,41,117157,No,1
96751FDUA,M,college,Married,2,4222292,Yes,0
53856CIZS,F,university,Married,14,4721933,No,0
57809QLRI,M,others,Single,24,2705564,No,1
87619LXBD,F,others,Single,74,1084704,No,1
11373YXVG,M,university,Married,39,1033805,No,1
65135NEYE,F,university,Married,64,1053324,Yes,1
67685VABQ,M,primary,Single,89,8286654,No,1
56746MQHY,M,college,Single,82,5775108,No,1
48620BLMF,M,college,Married,71,1013411,No,1
63778ZDJO,F,primary,Single,37,7215794,No,0
34220HJPG,F,university,Single,96,1341366,Yes,1
81353TMNM,M,college,Married,71,7481498,No,1
30959FJBM,F,college,Single,68,201309,No,1
86458LWST,F,others,Married,22,1480283,No,1
34515BNTH,M,primary,Single,50,5341833,Yes,0
96193UIYT,F,college,Married,79,9867329,No,1
15501IMLP,F,college,Single,89,6064625,No,0
53619THIV,F,college,Single,9,1105264,No,0
57283RZPU,F,college,Married,25,9549611,No,1
76049UUPS,F,primary,Single,11,4402968,Yes,1
51668DRAY,F,primary,Married,11,5353006,Yes,1
10316KUXW,F,college,Married,91,7562951,Yes,0
70123RNIE,F,college,Single,76,6008132,Yes,0
93377QSPE,M,college,Married,84,8060594,Yes,0
25292HFSI,M,university,Single,51,6215009,No,1
39721RJZV,F,others,Single,33,8383490,No,0
98227JLGM,F,others,Single,18,5037312,Yes,0
25961QPGR,F,primary,Single,91,8205526,Yes,0
56047CUAO,M,others,Married,43,5259233,Yes,1
94984FZIQ,M,primary,Married,68,9158966,Yes,1
90557YXEW,F,others,Married,45,3192454,Yes,1
19934YZYW,F,primary,Married,50,3827079,Yes,0
05192ZOMY,F,college,Single,17,9852070,No,0
84111LGET,F,others,Married,49,2861404,Yes,0
75718XVNC,F,university,Married,13,716379,No,1
61132GGTY,M,others,Single,94,5920596,No,1
37066BDHK,M,primary,Single,37,6874169,Yes,1
58731XHPF,M,primary,Single,78,7800480,No,0
11764OMNR,M,college,Single,72,7745038,Yes,1
22780LSCO,M,college,Single,10,5441989,No,0
05551INDF,F,primary,Single,41,6765273,No,0
50584NLBM,M,others,Married,28,7778318,Yes,0
87387PBIB,F,university,Single,56,7791215,Yes,1
99090KTTZ,M,college,Single,5,7586262,No,0
64938XJRR,F,college,Single,31,2561627,No,0
56315NSFA,M,college,Single,70,2383756,Yes,1
02655VGJH,F,others,Single,19,6468694,Yes,1
97184TWAF,F,university,Married,85,7039673,Yes,1
10570TKGF,M,university,Single,35,410704,Yes,1
80528TIPR,M,university,Single,3,2339282,Yes,0
33162HBYW,F,university,Married,63,5313739,Yes,1
96449YRUI,F,primary,Married,28,6399793,No,0
41374WHSU,M,university,Single,88,2506247,No,0
95951GFQX,M,primary,Single,28,6701127,No,0
80712RPWE,F,primary,Single,31,6135597,Yes,1
77548IYAY,M,university,Married,28,234045,Yes,0
91942PFXO,F,others,Married,56,7287709,Yes,0
73532NMCZ,F,college,Single,82,2898767,Yes,1
48934OFDG,F,primary,Single,27,2534009,Yes,0
95413JVMR,F,university,Married,18,9947835,Yes,0
62896MEUE,M,primary,Married,1,3085492,Yes,1
74956BAWY,F,college,Single,37,3640552,No,1
67482SANJ,M,college,Single,31,1591256,Yes,0
66644AOAN,F,primary,Single,2,274968,Yes,1
29086UXCC,F,college,Single,78,6564785,No,0
11582KJKO,F,primary,Single,61,7923682,No,1
92686WTCJ,F,university,Single,56,2514902,Yes,0
50014LUOW,F,college,Married,53,4544782,Yes,0
05028XMBB,M,primary,Married,71,5659211,Yes,1
98509IYPT,M,primary,Married,70,3317804,Yes,0
73012VKXI,F,others,Single,72,363742,Yes,0
71975ZBLV,M,primary,Single,24,8343686,No,1
37937AHZM,M,primary,Single,52,6580560,Yes,0
39466CQUS,M,university,Married,23,2656108,No,1
01767ICAI,M,university,Single,66,5092257,Yes,1
32114OKAJ,F,college,Single,74,9216206,Yes,0
05332KCXX,F,college,Married,51,4658523,No,1
95131HMBL,F,others,Single,80,3820832,Yes,0
44022QPFC,M,primary,Married,73,3186767,Yes,1
39368IIVW,F,others,Single,49,8162699,Yes,1
91392IZZH,M,college,Married,95,8374128,No,0
64523VKCO,F,university,Married,33,7262123,Yes,0
55659MSLH,M,primary,Single,90,7299894,Yes,0
68744QGRS,F,college,Married,46,2681346,Yes,1
70944NXRO,M,college,Married,33,8176245,No,1
73856CTRJ,F,college,Married,55,1002614,No,1
60963TZLA,M,others,Single,47,5928555,No,1
25555LKUP,F,college,Married,46,1778578,Yes,1
53014ZDYD,M,others,Married,30,1122498,No,0
34244LSIH,F,college,Single,40,5423781,Yes,1
81866EZGE,F,primary,Single,69,7997704,Yes,1
15924EQLA,M,university,Single,45,4854016,Yes,0
61537FTVB,F,college,Married,9,2373604,Yes,0
18134GWNQ,M,primary,Single,88,3945203,Yes,1
56538QVSH,M,college,Single,17,8703394,Yes,1
60113ESNK,M,university,Single,41,8291831,No,0
13166QZOM,M,primary,Single,89,3630655,Yes,0
13403ADVZ,F,primary,Married,31,6985117,Yes,1
54648MCAT,F,university,Single,68,8229340,No,0
22514TTOC,M,college,Single,74,217561,No,0
17838BSOZ,F,college,Married,16,5167512,No,1
18729LJVL,M,university,Single,12,2660907,No,1
97285JSQE,M,others,Single,64,5680439,No,0
12203HOIS,M,primary,Single,90,5211204,No,1
22896CZUX,M,university,Single,60,7197383,No,1
98182SVTR,F,others,Single,68,2044260,No,0
45244QWCN,M,primary,Married,40,2171443,No,0
29393AUTT,M,primary,Married,13,8885830,No,1
46305FLFG,M,university,Single,77,4729449,Yes,1
83554IRBC,M,others,Single,29,5722663,No,1
74184AYFR,F,primary,Married,92,6263853,Yes,1
16192RGJX,M,primary,Single,44,2149724,Yes,0
13362RSAM,M,others,Single,91,6200315,Yes,0
12606VZKD,F,others,Married,89,9484625,Yes,1
03713WDUT,F,college,Married,82,7944399,No,0
19150QLSQ,M,college,Single,70,1059062,No,0
14680CTPJ,M,university,Single,28,297121,Yes,0
93120OPPU,M,college,Single,59,7500728,No,1
68635NTHB,F,university,Single,34,6207713,No,1
89414PNZZ,M,college,Married,73,6996109,No,1
91853RTYU,M,university,Married,6,4129039,No,0
00200UNQN,F,college,Married,58,3514089,No,1
47056HINF,F,university,Married,79,5472739,Yes,0
85368RBSS,M,others,Married,56,3916446,No,0
80044PITT,F,college,Single,63,5243502,No,1
17719NUSE,M,primary,Married,75,7989104,Yes,1
17287AUHB,M,university,Single,55,4706535,Yes,0
75043MOJG,M,others,Married,8,9311284,Yes,0
15725BWGM,M,others,Married,21,5716960,No,1
31985XTKI,M,college,Single,2,9684142,Yes,0
47203NXEU,F,primary,Married,71,5554278,No,1
99042VIOA,M,college,Single,57,3261118,Yes,0
25364PMUF,M,primary,Married,71,2132936,No,0
97204GJVW,M,college,Single,83,5399458,No,0
90687CNGM,F,others,Married,7,9601181,Yes,1
09709XNSJ,F,university,Married,44,3840753,Yes,0
90018BOLZ,M,others,Single,61,9946118,Yes,0
22387TIHB,M,others,Single,90,3976501,Yes,0
27511MKNZ,M,university,Married,18,4179189,No,1
23211RVSB,F,university,Married,8,8197146,No,1
83023NRGZ,F,university,Single,87,9450573,No,0
04472MUDA,M,others,Married,45,7881140,No,1
89183QQPG,F,university,Single,8,325433,No,0
80094DXVI,M,college,Married,92,5258987,No,0
04158KARE,F,college,Single,35,8572495,No,1
21280QGHK,M,college,Married,72,1603611,Yes,0
50211XNQU,F,college,Married,32,6444856,No,1
79735MXNK,M,primary,Married,93,2488992,Yes,1
13287BZNT,F,primary,Single,3,5396475,No,1
99162VXBZ,M,others,Single,91,1364117,Yes,0
28738VEPU,M,others,Married,76,8879100,Yes,0
69079OOEZ,F,university,Single,62,8236615,Yes,0
84340GFNA,F,others,Married,55,7762638,Yes,0
92179VIAP,F,university,Married,90,4462863,No,0
97889JYKC,F,university,Single,97,1122823,No,0
31197YQEZ,M,others,Married,17,7541106,Yes,1
69725EHRD,M,primary,Single,50,6536009,No,1
79939ZAPX,F,university,Married,27,3241052,No,1
92591TGZE,M,primary,Married,84,4634041,No,0
80768LGGB,M,others,Single,57,2400541,No,1
21037ZWMJ,M,college,Married,39,6103257,Yes,1
51486REBV,M,others,Married,68,990213,No,0
23901JTOX,F,primary,Married,89,7948155,No,0
05640YEXE,F,university,Single,86,4137021,No,1
12167SGHG,F,primary,Single,38,3746912,Yes,0
05813LHRP,M,others,Single,42,51225,No,1
10120VIKM,M,primary,Married,29,5489747,Yes,0
60518JLGM,F,university,Single,72,5975521,No,1
22076CIOZ,M,primary,Single,65,8095898,No,0
55884NWMW,M,university,Married,52,9426747,Yes,1
40975XURQ,M,others,Married,18,2451491,No,0
17199VDLZ,M,others,Single,98,4576113,Yes,1
49682XXBK,M,college,Single,69,5369308,Yes,1
33248UQNK,M,university,Married,87,8131879,Yes,1
41579YOCH,F,others,Single,75,5270870,Yes,1
53434PAHD,M,university,Single,40,8997792,No,0
66083GTXX,M,college,Married,0,3356422,Yes,1
08324SCWD,M,primary,Single,78,3157390,Yes,0
94824QEFV,F,college,Single,6,2019347,Yes,0
77885EIND,M,college,Single,91,4959674,No,1
88018VGLX,M,primary,Single,96,1016078,Yes,0
72856DAJP,M,primary,Married,45,3270603,No,1
18531XTRH,M,primary,Married,75,8782910,No,1
31598QRGK,F,college,Married,15,8457886,No,1
07709QPAG,F,others,Single,99,4738830,No,1
83964JJGM,F,others,Married,9,4164550,No,1
68315RVJQ,M,others,Married,78,6308383,No,0
62109QWGS,M,others,Single,8,7096617,No,0
82178UUPR,F,college,Single,67,183107,No,1
67692KKAS,F,others,Single,52,5002581,Yes,1
51725UXRN,F,university,Married,93,4378651,Yes,1
88810DGVT,F,university,Married,20,3426580,No,1
16303THUI,F,primary,Single,93,2416920,No,1
22848PYBX,F,university,Married,24,4967791,No,1
58320WDFK,M,primary,Single,31,424191,Yes,0
59437UMQE,F,college,Married,76,483541,Yes,1
60271TMTC,M,others,Single,99,7070309,Yes,1
66493AFJA,M,others,Married,97,1320530,No,0
38166GSID,F,college,Single,22,6184613,No,0
35182HSPI,F,others,Single,23,7800391,No,1
89393EYXK,M,university,Married,3,2476565,No,1
27175EJQA,F,college,Single,83,7494133,Yes,0
82509RQAR,M,primary,Single,63,6409223,Yes,1
43541SQHR,M,university,Single,93,9315791,Yes,1
62618CSDC,F,college,Single,15,2633661,Yes,1
11125FSHB,F,others,Single,42,9963067,No,0
42930RXVR,F,college,Single,11,7451421,No,0
10571GGZH,F,primary,Single,12,5269506,No,0
40102UITC,F,others,Single,51,1807659,Yes,1
70861JLQW,F,college,Married,73,4589442,Yes,0
08149HKWU,M,college,Married,89,7649459,Yes,0
67160YEKP,F,others,Married,87,4629664,No,1
86133ARVZ,F,college,Single,49,3318210,Yes,1
19140GISR,M,university,Married,52,7605674,Yes,1
75596INSC,F,university,Married,48,4777527,Yes,1
62363VOZB,F,primary,Single,89,2733027,No,1
61888BMGZ,M,university,Single,60,9839508,Yes,1
02642LULW,F,others,Single,17,2156471,No,1
41461KOAC,M,college,Single,43,5415748,Yes,0
66352RYJB,M,college,Married,23,284479,No,0
24564RSCT,F,primary,Single,12,2078948,No,1
23892NSBE,F,college,Single,39,879521,Yes,1
17716EYKL,F,college,Single,45,5478400,Yes,1
77149VPUL,F,university,Single,22,9270673,Yes,1
69145BYVM,F,primary,Married,90,8004436,Yes,0
59157DKPW,M,college,Married,55,6187807,Yes,0
53997HZZL,M,college,Married,32,2378219,No,0
14772SWSY,M,others,Single,63,5289332,No,0
62623RZQY,F,others,Single,11,6291944,Yes,0
56313MORK,F,university,Single,23,9229602,Yes,0
78288NADR,M,university,Married,33,427237,No,1
17122VRHT,F,college,Married,51,7285668,Yes,0
08187WTOG,M,college,Married,25,5433876,No,1
77269KYZI,M,primary,Single,29,6636022,Yes,1
50267WVXS,M,university,Married,44,2986319,Yes,0
67567ZHER,F,college,Married,82,5479615,No,0
11534ODPG,F,university,Single,81,579385,No,0
37113BYQR,M,primary,Single,10,4746425,No,1
45373FEBN,F,university,Single,43,5436056,No,1
45022IJFT,M,university,Single,57,9489477,No,1
59890RLXP,M,primary,Married,96,9538345,No,0
69639YKOH,F,primary,Single,12,660712,No,1
98384BXFN,M,university,Married,67,8585042,Yes,1
91950BRUW,F,primary,Single,32,937162,No,0
41579UQYT,M,others,Single,2,2212358,Yes,1
14300UOOF,F,primary,Single,77,8332851,Yes,0
23640RNQQ,F,college,Single,7,1071694,Yes,1
75709CUHC,M,university,Married,71,1139084,No,1
74364NDKU,M,college,Single,7,2347325,No,0
59169USJY,F,others,Married,87,2542922,No,0
55105NYHT,F,others,Single,47,1715525,No,0
93465EFVF,M,university,Single,12,8770803,No,1
17889ZLOH,M,others,Married,21,2741091,No,1
00743DRCQ,M,college,Married,0,3942874,No,0
93463POJI,F,primary,Single,67,1541146,Yes,1
40227LVDT,M,primary,Married,1,6045115,No,1
84335EPVW,F,others,Single,0,5990826,No,1
15280BANA,F,others,Married,41,5673351,Yes,1
54595OZMU,F,others,Married,49,1361618,Yes,1
32772MNKN,F,college,Married,39,6922981,Yes,1
68861NLEY,M,primary,Single,3,5764201,Yes,1
69743FMBJ,M,university,Married,72,1167301,Yes,0
02934LBZI,M,college,Married,72,8262036,No,0
75882OEQJ,F,primary,Single,47,6720280,Yes,0
68539NJWM,F,college,Single,8,9145452,Yes,0
46511CQFE,M,primary,Single,22,1042712,No,0
37128SMMF,F,university,Married,24,8802659,No,1
18005EQBO,F,primary,Married,81,6985243,No,1
02195OASR,M,college,Married,79,6643613,No,0
20498EVPU,M,university,Single,63,2600201,No,1
81627ILPF,F,college,Married,23,9195551,No,0
31285KDCM,M,college,Single,68,1501120,Yes,1
60751MDPV,F,others,Married,27,3477155,Yes,0
87653BNFU,F,primary,Single,44,7524551,Yes,1
73577SCDM,M,college,Married,12,2668592,No,0
28284ESUP,M,primary,Single,87,1933560,Yes,1
10663JEQG,F,others,Married,19,4374738,No,0
84326TKUM,M,primary,Married,76,3815075,Yes,1
35233STWR,M,college,Single,47,4014207,No,0
74612KIOS,F,university,Married,73,948151,No,0
71900DYLB,F,primary,Married,22,9356395,No,0
20039PNSP,M,primary,Single,56,406432,Yes,0
98642RUHA,F,university,Married,90,880521,No,1
55210GAEZ,M,university,Married,98,3783596,No,1
73355TBCH,M,others,Married,22,8031140,Yes,1
89392PFYO,F,university,Single,64,711268,No,1
24102YUYW,M,university,Married,19,707594,No,0
85695UTYL,M,college,Married,56,3674226,Yes,1
45010QZRF,F,others,Single,3,3903482,No,1
39508GCRV,M,university,Single,79,2560719,Yes,1
09438GYRX,F,others,Married,4,2309772,No,1
41782FGQE,F,university,Married,68,8398404,No,1
19666TOBM,F,others,Married,15,5359633,No,0
64988MZXH,F,college,Married,39,5418207,Yes,0
25074ONKR,F,university,Single,37,6501596,No,0
19646AFPI,F,university,Married,13,6640570,No,1
62524PJMF,M,primary,Married,44,323058,Yes,1
73821DOFC,F,university,Married,87,8560524,No,0
22431YDUE,F,primary,Married,23,4859343,Yes,1
49857UHOO,M,others,Single,75,8258204,Yes,0
36084QLIJ,F,primary,Single,66,394485,No,1
59201WZFO,F,others,Married,21,6961517,Yes,0
61736MTXJ,F,university,Married,12,9227991,No,1
26118IQOW,F,university,Single,63,1140206,No,1
01232GQHL,M,primary,Married,24,673271,Yes,1
83594EASR,F,others,Married,77,3357531,Yes,1
97011BWOA,M,college,Single,19,9892999,Yes,0
37021RXIG,M,others,Married,78,604074,Yes,0
26180RWIM,M,university,Single,43,3503697,Yes,0
95249SEPQ,M,college,Married,58,3850472,Yes,1
65563JOUL,M,others,Single,84,9776742,No,0
32308WIMA,M,university,Married,70,8245416,No,1
99404HGAJ,M,college,Married,49,119997,Yes,0
45317KJGK,F,university,Married,57,5861650,Yes,1
27986HTVK,F,college,Single,14,1352704,Yes,0
81266HQEA,M,others,Single,85,9757348,Yes,0
05112SSGD,M,others,Married,70,6176000,No,0
43379MUIV,M,others,Single,8,8542097,Yes,1
90704EVVV,M,college,Married,43,2754470,Yes,1
17274TALU,F,others,Single,31,6663600,Yes,0
59463IQBY,M,college,Married,46,3569829,No,0
52618WFCQ,M,primary,Single,18,2554430,No,1
31217ABUM,F,university,Married,30,8996447,No,1
53010QYZQ,M,primary,Single,62,123312,Yes,1
06771GZUT,M,college,Single,24,4721397,Yes,0
84163DXML,M,others,Single,51,4456813,Yes,1
26113THVX,F,others,Single,5,9332540,No,0
50122JAQJ,M,college,Married,45,6279722,No,1
10872SROK,F,university,Single,7,8571138,Yes,0
54563QCNB,F,others,Single,61,6516603,Yes,0
81824COVR,F,primary,Single,84,2682062,Yes,1
57236BYFM,F,university,Single,90,3382051,Yes,0
80805YKJS,M,others,Single,96,4299636,Yes,1
82003YYCS,M,college,Married,75,5611740,Yes,0
51526ETKC,F,primary,Single,12,3284517,Yes,1
63468EEKI,M,college,Single,66,5487125,No,1
19433ZIJT,M,others,Single,11,4367812,No,1
47652TYGZ,F,university,Single,84,6587280,Yes,0
43795NZHH,M,others,Married,83,1999302,No,1
28086HOOY,F,others,Married,41,4787911,No,1
10313PGVC,F,others,Single,67,7577426,Yes,1
39777EVRO,M,university,Married,72,483478,No,0
95375CBUJ,M,primary,Single,73,7474979,Yes,0
84882QPAU,F,college,Single,89,8586665,Yes,1
33051NFBT,F,college,Single,68,6806363,No,1
34552HKDC,F,university,Married,66,3432452,No,0
50305UDDO,F,others,Married,50,3100968,Yes,1
46167GBUI,F,primary,Married,96,1890684,Yes,0
90643IPAH,M,college,Single,69,698941,No,0
96941BVFJ,M,college,Single,82,6500367,Yes,1
78109YWVA,F,college,Married,25,1790626,No,1
61402NFNG,F,others,Single,36,3449114,Yes,0
47160PRBE,M,others,Single,41,3357837,No,0
27606AKHW,F,others,Married,17,9566486,No,1
68086GJZC,M,others,Married,57,5009841,Yes,0
38515LYAG,M,others,Married,97,3596070,No,0
53313JQGZ,M,college,Married,25,9953221,No,0
58688VAOH,M,primary,Married,37,5089715,No,0
18603YPQF,F,college,Single,80,6055541,No,0
21993OFDO,M,others,Single,54,7780934,No,1
88375DZZD,M,university,Single,51,912137,No,0
99359DIWS,M,college,Single,55,3855573,No,1
78444YXYH,M,primary,Married,48,9510108,Yes,0
71176GOGG,F,college,Single,10,4233439,No,0
63645PSJW,F,others,Married,62,3637403,No,1
41107AHKT,M,others,Married,3,8574825,Yes,1
97099WMIL,F,university,Single,62,399508,Yes,0
24073IPTP,M,university,Married,13,5199286,No,1
58754VBZN,F,university,Married,41,207373,Yes,0
37556BHKH,M,primary,Single,71,3630985,Yes,1
84460NDVL,F,college,Married,61,3035320,Yes,0
71796DKLE,F,university,Married,78,5602450,Yes,1
57242RXUS,F,primary,Married,49,3462024,Yes,1
11435JUNY,M,primary,Single,39,8381775,Yes,1
33795RDWE,M,others,Single,63,6519152,Yes,1
74374QDDF,M,primary,Single,98,5492170,Yes,1
62485AWGP,M,college,Single,36,7682025,No,1
44062OQOV,F,college,Married,98,6555771,Yes,0
01608RVHX,F,primary,Single,87,2772558,Yes,1
